time,frame_status,frame_path,brightness,saturation,edge_density,upper_text_edge_density,mid_text_edge_density,lower_text_edge_density,center_vertical_edge_score,center_horizontal_edge_score,possible_split_screen,possible_dense_text
0.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0000s.jpg,60.66,46.8,0.0489,0.0305,0.0424,0.0748,0.1328,0.6483,True,False
5.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0005s.jpg,61.56,16.41,0.0452,0.031,0.0374,0.0702,0.084,1.0,True,False
10.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0010s.jpg,62.0,43.79,0.051,0.0309,0.049,0.0703,0.1094,0.6864,True,False
15.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0015s.jpg,60.26,46.6,0.0486,0.0309,0.0442,0.0704,0.1113,0.5508,True,False
20.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0020s.jpg,60.58,48.51,0.0491,0.0308,0.0428,0.0745,0.1367,0.6102,True,False
25.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0025s.jpg,41.17,66.01,0.0466,0.0308,0.0379,0.0744,0.1055,0.911,True,False
30.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0030s.jpg,42.52,63.81,0.0502,0.0312,0.0448,0.0745,0.1328,0.9025,True,False
35.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0035s.jpg,40.56,66.64,0.0443,0.0312,0.0331,0.0745,0.0977,0.9025,True,False
40.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0040s.jpg,42.06,64.36,0.0491,0.0312,0.0426,0.0746,0.1152,0.911,True,False
45.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0045s.jpg,43.56,62.14,0.0533,0.0312,0.051,0.0747,0.1172,0.9025,True,False
50.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0050s.jpg,44.26,61.29,0.056,0.0313,0.0563,0.0748,0.1172,0.911,True,False
55.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0055s.jpg,41.68,64.66,0.0504,0.0312,0.0452,0.0748,0.1133,0.911,True,False
60.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0060s.jpg,41.16,65.22,0.0527,0.0313,0.0496,0.0749,0.125,0.9153,True,False
65.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0065s.jpg,49.68,29.02,0.0423,0.0312,0.0289,0.0749,0.125,0.8602,True,False
70.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0070s.jpg,51.17,30.87,0.0483,0.0312,0.0407,0.075,0.1113,0.8729,True,False
75.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0075s.jpg,41.13,67.07,0.0411,0.0313,0.0264,0.075,0.1055,0.9025,True,False
80.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0080s.jpg,42.8,66.05,0.0453,0.0312,0.0347,0.0751,0.1113,0.8983,True,False
85.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0085s.jpg,49.21,56.6,0.0499,0.0312,0.0439,0.0751,0.0938,0.8898,True,False
90.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0090s.jpg,60.31,48.78,0.0492,0.0312,0.0425,0.0753,0.1172,0.6525,True,False
95.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0095s.jpg,60.29,48.88,0.049,0.0312,0.042,0.0754,0.1133,0.5042,True,False
100.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0100s.jpg,50.7,16.96,0.0375,0.0312,0.0189,0.0753,0.0918,0.0763,False,False
105.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0105s.jpg,60.08,48.37,0.0498,0.0313,0.0435,0.0755,0.1211,0.5763,True,False
110.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0110s.jpg,52.66,16.62,0.0434,0.0312,0.0308,0.0754,0.0781,0.2712,False,False
115.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0115s.jpg,61.67,16.83,0.0581,0.0312,0.0601,0.0755,0.0977,0.3432,True,False
120.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0120s.jpg,56.44,19.19,0.0569,0.0312,0.0576,0.0755,0.1172,0.1398,False,False
125.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0125s.jpg,60.36,47.36,0.0487,0.0312,0.0413,0.0756,0.1113,0.4492,True,False
130.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0130s.jpg,49.63,28.61,0.0492,0.0312,0.0422,0.0757,0.0957,0.8432,True,False
135.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0135s.jpg,50.3,29.1,0.0515,0.0312,0.0468,0.0757,0.1309,0.8475,True,False
140.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0140s.jpg,53.7,32.51,0.0582,0.0312,0.0601,0.0758,0.1348,0.8559,True,False
145.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0145s.jpg,60.0,48.6,0.0493,0.0313,0.0422,0.0759,0.1113,0.4915,True,False
150.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0150s.jpg,47.24,58.99,0.0509,0.031,0.0455,0.0759,0.0762,0.928,True,False
155.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0155s.jpg,48.42,54.67,0.0613,0.031,0.0663,0.076,0.1289,0.928,True,False
160.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0160s.jpg,66.03,40.3,0.0596,0.031,0.0629,0.076,0.1367,0.8856,True,False
165.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0165s.jpg,48.32,29.66,0.0566,0.031,0.057,0.0761,0.125,0.839,True,False
170.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0170s.jpg,84.18,22.27,0.0662,0.031,0.0762,0.0761,0.1484,0.8093,True,False
175.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0175s.jpg,83.87,23.74,0.0672,0.0309,0.0781,0.0762,0.1543,0.8051,True,False
180.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0180s.jpg,84.75,21.7,0.0658,0.031,0.0752,0.0764,0.1074,0.8475,True,False
185.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0185s.jpg,84.59,21.26,0.0654,0.031,0.0744,0.0763,0.1113,0.8644,True,False
190.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0190s.jpg,85.59,21.44,0.06,0.0309,0.0635,0.0764,0.1543,0.8644,True,False
195.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0195s.jpg,85.31,20.82,0.0653,0.031,0.0741,0.0764,0.1074,0.8347,True,False
200.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0200s.jpg,85.04,21.61,0.0666,0.031,0.0766,0.0765,0.1172,0.822,True,False
205.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0205s.jpg,84.82,22.82,0.068,0.0309,0.0794,0.0766,0.1113,0.7839,True,False
210.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0210s.jpg,83.72,26.21,0.0697,0.0306,0.083,0.0766,0.1543,0.8517,True,False
215.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0215s.jpg,85.71,21.71,0.0669,0.0306,0.0773,0.0766,0.0977,0.8517,True,False
220.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0220s.jpg,85.48,22.15,0.0671,0.0306,0.0777,0.0767,0.1016,0.8602,True,False
225.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0225s.jpg,86.16,21.42,0.0607,0.0307,0.0647,0.0769,0.1016,0.8644,True,False
230.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0230s.jpg,86.05,21.8,0.0635,0.0306,0.0705,0.0768,0.1094,0.839,True,False
235.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0235s.jpg,67.88,30.43,0.0803,0.0306,0.1042,0.0769,0.2637,0.8559,True,False
240.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0240s.jpg,67.83,30.42,0.0799,0.0306,0.1032,0.0769,0.2676,0.839,True,False
245.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0245s.jpg,85.65,21.47,0.0571,0.0306,0.0574,0.077,0.1543,0.8559,True,False
250.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0250s.jpg,85.93,21.27,0.0559,0.0306,0.0551,0.0771,0.1387,0.8644,True,False
255.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0255s.jpg,60.87,24.16,0.0558,0.0306,0.0548,0.0771,0.1152,0.6992,True,False
260.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0260s.jpg,68.2,23.1,0.0588,0.0306,0.0608,0.0772,0.1562,0.7797,True,False
265.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0265s.jpg,66.41,30.56,0.0684,0.0306,0.08,0.0772,0.1562,0.8517,True,False
270.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0270s.jpg,84.6,22.43,0.0673,0.0309,0.0776,0.0773,0.1113,0.8475,True,False
275.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0275s.jpg,86.53,20.58,0.0484,0.0308,0.0398,0.0774,0.0859,0.7585,True,False
280.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0280s.jpg,87.27,20.07,0.0465,0.0309,0.036,0.0774,0.0918,0.8263,True,False
285.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0285s.jpg,75.93,24.0,0.0755,0.0309,0.0941,0.0775,0.2051,0.8517,True,False
290.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0290s.jpg,51.0,31.83,0.0622,0.0309,0.0674,0.0775,0.0957,0.8475,True,False
295.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0295s.jpg,62.18,46.86,0.0498,0.0309,0.0424,0.0777,0.1113,0.6314,True,False
300.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0300s.jpg,67.28,13.64,0.0558,0.0309,0.0545,0.0777,0.1113,0.5593,True,False
305.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0305s.jpg,58.67,50.77,0.057,0.031,0.0567,0.0777,0.2402,0.7712,True,False
310.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0310s.jpg,61.76,49.67,0.0622,0.0311,0.0672,0.0779,0.248,0.8432,True,False
315.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0315s.jpg,61.63,47.71,0.051,0.0311,0.0445,0.0779,0.125,0.661,True,False
320.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0320s.jpg,72.96,24.25,0.0578,0.031,0.0582,0.0779,0.1113,0.8602,True,False
325.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0325s.jpg,49.09,29.62,0.0539,0.031,0.0504,0.0779,0.0996,0.8517,True,False
330.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0330s.jpg,49.55,32.07,0.0573,0.031,0.0572,0.078,0.1328,0.8602,True,False
335.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0335s.jpg,61.53,21.84,0.0498,0.0311,0.042,0.0782,0.1055,0.1483,False,False
340.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0340s.jpg,62.07,46.78,0.0509,0.0311,0.0442,0.0782,0.1074,0.6483,True,False
345.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0345s.jpg,62.93,43.64,0.0576,0.0311,0.0576,0.0783,0.1094,0.6144,True,False
350.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0350s.jpg,61.42,46.7,0.0516,0.0311,0.0456,0.0783,0.1074,0.4237,True,False
355.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0355s.jpg,62.28,45.56,0.0503,0.031,0.0431,0.0783,0.1133,0.5508,True,False
360.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0360s.jpg,62.02,46.51,0.0504,0.0311,0.0431,0.0785,0.1094,0.6483,True,False
363.2,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0363s.jpg,61.57,46.9,0.0513,0.0311,0.045,0.0785,0.125,0.5805,True,False
